Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Total_Spending,Total_Purchases,Children_In_Home,Campaign_Accepted,Education_Encoded,Marital_Status_Encoded,Customer_Since,Labels
1979,Graduation,With_Partner,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,47,1730,43,1,0,1,2,4976,0
1949,PhD,With_Partner,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,77,972,17,1,1,3,2,4990,0
1954,PhD,With_Partner,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,72,544,20,1,0,3,2,4606,0
1951,Graduation,With_Partner,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,75,444,20,1,0,1,2,4905,0
1969,Graduation,Alone,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,57,75,8,0,0,1,0,4980,0
1976,Graduation,With_Partner,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,50,257,14,2,0,1,2,4835,0
1986,Graduation,Alone,,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,40,637,27,1,0,1,0,4931,0
1989,Graduation,With_Partner,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,37,131,9,1,0,1,2,4831,0
1965,PhD,With_Partner,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,61,1672,26,0,1,3,2,4656,0
1989,Master,Alone,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,37,30,8,0,0,2,0,4475,0
1963,Master,With_Partner,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,63,318,11,0,0,2,2,4851,0
1970,Graduation,With_Partner,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,56,120,9,1,1,1,2,5064,0
1952,PhD,Alone,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,74,302,17,2,0,3,0,5045,0
1946,Master,With_Partner,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,80,1196,18,0,0,2,2,4931,0
1951,Master,Alone,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,75,65,6,2,0,2,0,4741,0
1970,PhD,With_Partner,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,56,913,28,1,0,3,2,4617,0
1976,Basic,With_Partner,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,50,81,9,1,0,0,2,4737,0
1973,Graduation,Alone,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,53,67,7,1,0,1,0,4575,0
1943,PhD,Alone,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,83,902,24,0,1,3,0,4950,0
1980,Graduation,With_Partner,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,46,1395,21,1,0,1,2,4863,0
1985,Master,With_Partner,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,41,53,7,1,0,2,2,4911,0
1957,Graduation,With_Partner,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,69,22,4,1,0,1,2,4989,0
1959,PhD,Alone,,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,67,186,9,0,0,3,0,4673,0
1975,Master,With_Partner,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,51,31,8,1,0,2,2,4707,0
1976,Graduation,Alone,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,50,984,16,0,0,1,0,4438,0
1996,Basic,With_Partner,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,30,122,10,0,0,0,2,5034,0
1968,Graduation,With_Partner,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,58,55,5,1,0,1,2,4838,0
1951,Graduation,Alone,,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,75,124,10,3,0,1,0,4616,0
1954,PhD,With_Partner,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,72,1319,28,2,0,3,2,5035,0
1957,Graduation,Alone,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,69,507,17,1,0,1,0,4485,0
1964,Master,With_Partner,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,62,1693,29,0,0,2,2,5124,0
1977,Graduation,Alone,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,49,72,7,1,0,1,0,4980,0
1977,Graduation,Alone,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,49,1617,21,0,2,1,0,4459,0
1978,Graduation,With_Partner,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,48,606,23,2,0,1,2,4819,0
1955,Master,With_Partner,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,71,1957,27,0,1,2,2,5024,0
1966,Graduation,Alone,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,60,1093,21,0,0,1,0,4890,0
1988,Graduation,Alone,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,38,29,6,1,0,1,0,4499,0
1982,Graduation,Alone,,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,44,46,7,1,0,1,0,4814,0
1968,PhD,With_Partner,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,58,518,19,1,0,3,2,4555,0
1982,Master,Alone,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,44,1438,21,0,2,2,0,4797,0
1975,Graduation,With_Partner,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,51,612,22,2,0,1,2,5097,0
1952,Graduation,Alone,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,74,884,24,1,0,1,0,4933,0
1951,PhD,Alone,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,75,606,19,1,0,3,0,4820,0
1948,Graduation,With_Partner,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,78,1076,16,0,0,1,2,4642,0
1971,Graduation,With_Partner,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,55,34,5,1,0,1,2,4841,0
1967,Graduation,With_Partner,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,59,11,4,2,0,1,2,4486,0
1979,Basic,Alone,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,47,1274,32,1,2,0,0,4539,0
1958,Graduation,With_Partner,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,68,653,18,1,0,1,2,4712,0
1970,Graduation,With_Partner,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,56,1562,19,3,0,1,2,4884,0
1954,Master,With_Partner,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,72,1253,21,0,0,2,2,5093,0
1973,Basic,With_Partner,,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,53,109,9,1,0,0,2,5090,0
1959,Graduation,With_Partner,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,67,863,30,1,0,1,2,4906,0
1975,PhD,With_Partner,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,51,661,24,2,1,3,2,4887,0
1952,Graduation,With_Partner,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,74,65,8,0,0,1,2,4497,0
1977,Graduation,Alone,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,49,13,4,1,0,1,0,4994,0
1972,Master,With_Partner,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,54,1890,19,0,0,2,2,5108,0
1976,Graduation,Alone,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,50,2209,22,0,1,1,0,5062,0
1976,Basic,With_Partner,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,50,18,4,0,0,0,2,4735,1
1965,Graduation,With_Partner,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,61,692,21,0,1,1,2,4980,0
1985,Graduation,Alone,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,41,165,12,1,0,1,0,5106,0
1969,Graduation,With_Partner,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,57,16,4,1,0,1,2,4808,0
1973,Basic,With_Partner,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,53,79,9,1,0,0,2,4798,0
1987,Graduation,Alone,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,39,778,27,0,0,1,0,4561,0
1960,Graduation,With_Partner,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,66,56,7,2,0,1,2,4759,0
1970,Master,With_Partner,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,56,151,13,2,1,2,2,4785,0
1957,Graduation,Alone,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,69,372,17,1,2,1,0,4469,0
1973,Graduation,With_Partner,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,53,1366,19,0,1,1,2,4485,0
1967,Graduation,With_Partner,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,59,194,10,1,0,1,2,4596,0
1957,PhD,With_Partner,,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,69,603,29,3,0,3,2,5024,0
1957,Graduation,Alone,,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,69,18,4,2,0,1,0,4470,0
1973,Master,With_Partner,,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,53,985,15,0,0,2,2,4655,0
1972,Master,Alone,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,54,32,5,1,0,2,0,4535,0
1970,PhD,With_Partner,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,56,43,10,1,0,3,2,4473,0
1983,Graduation,With_Partner,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,43,45,6,1,0,1,2,4475,0
1960,Graduation,Alone,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,66,606,22,1,1,1,0,5021,0
1972,Graduation,Alone,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,54,63,7,2,0,1,0,4881,0
1951,Basic,With_Partner,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,75,978,25,0,1,0,2,4647,0
1983,PhD,With_Partner,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,43,410,16,0,0,3,2,4811,0
1960,Basic,Alone,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,66,72,7,1,0,0,0,4778,0
1959,PhD,Alone,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,67,55,7,1,0,3,0,4528,0
1979,Graduation,With_Partner,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,47,1169,27,1,0,1,2,4872,0
1945,PhD,With_Partner,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,81,1120,16,0,0,3,2,4845,0
1959,Graduation,With_Partner,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,67,1097,20,0,0,1,2,4489,0
1979,Basic,With_Partner,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,47,29,5,1,0,0,2,4638,0
1964,Graduation,With_Partner,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,62,187,13,2,0,1,2,4715,0
1969,Graduation,With_Partner,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,57,910,26,2,0,1,2,4949,0
1978,Graduation,Alone,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,48,145,9,1,0,1,0,4994,0
1960,Master,With_Partner,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,66,850,14,0,0,2,2,5006,0
1979,Graduation,With_Partner,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,47,969,24,1,0,1,2,4676,0
1991,PhD,Alone,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,35,1820,17,0,1,3,0,5033,0
1963,Master,With_Partner,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,63,608,20,1,1,2,2,4441,0
1991,Graduation,Alone,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,35,730,25,0,2,1,0,4980,0
1980,PhD,With_Partner,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,46,551,21,1,0,3,2,5001,0
1962,Graduation,Alone,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,64,114,8,2,0,1,0,4729,0
1970,Graduation,With_Partner,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,56,1724,15,0,2,1,2,4593,0
1978,Basic,With_Partner,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,48,577,20,1,0,0,2,4932,0
1967,Basic,With_Partner,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,59,81,7,2,0,0,2,4790,0
1969,Graduation,With_Partner,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,57,33,7,1,0,1,2,4664,0
1953,Master,With_Partner,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,73,660,22,1,0,2,2,4811,0
1967,Master,Alone,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,59,80,9,1,0,2,0,4562,0
1985,Master,With_Partner,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,41,30,6,2,0,2,2,4735,0
1976,Graduation,Alone,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,50,43,5,1,0,1,0,4870,0
1983,Graduation,Alone,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,43,1135,27,0,3,1,0,4911,0
1965,Basic,With_Partner,71488.0,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,61,559,16,0,0,0,2,4933,0
1984,Graduation,Alone,79607.0,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,42,1923,16,0,0,1,0,4871,0
1953,Master,With_Partner,54348.0,1,1,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,73,90,8,2,0,2,2,4458,0
1961,PhD,With_Partner,,0,1,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0,65,404,17,1,0,3,2,4790,0
1956,PhD,With_Partner,77376.0,1,1,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,70,661,23,2,0,3,2,4487,0
1952,Graduation,With_Partner,62998.0,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,74,463,19,1,0,1,2,4709,0
1958,Master,Alone,61331.0,1,1,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,68,632,23,2,0,2,0,4913,0
1969,Graduation,With_Partner,73448.0,0,0,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,57,725,19,0,0,1,2,4576,0
1963,Graduation,With_Partner,,0,1,2013-08-11,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,3,11,0,63,725,19,1,0,1,2,4759,0
1964,PhD,With_Partner,41551.0,1,1,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,62,279,16,2,0,3,2,4756,0
1967,PhD,With_Partner,62981.0,0,0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,59,1482,23,0,1,3,2,4906,0
1976,Basic,Alone,9548.0,1,0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0,50,29,6,1,0,0,0,5127,0
1959,PhD,With_Partner,33762.0,2,1,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0,67,106,9,3,0,3,2,4794,0
1973,PhD,Alone,35860.0,1,1,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1,53,49,6,2,1,3,0,4478,0
1965,PhD,Alone,36921.0,1,1,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,61,38,7,2,0,3,0,4773,0
1992,Master,Alone,92859.0,0,0,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0,34,2077,22,0,0,2,0,5055,0
1976,Master,With_Partner,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1,50,1053,17,1,0,2,2,4664,0
1962,Graduation,With_Partner,86111.0,0,0,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0,64,1385,23,0,0,1,2,4873,0
1974,PhD,Alone,68352.0,0,1,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0,52,871,25,1,0,3,0,4742,0
1988,Graduation,With_Partner,41883.0,1,0,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0,38,312,12,1,0,1,2,4904,0
1976,Graduation,With_Partner,59809.0,0,2,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0,50,877,15,2,0,1,2,5056,0
1975,Graduation,With_Partner,23957.0,1,0,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1,51,68,6,1,0,1,2,5046,0
1981,Graduation,With_Partner,38547.0,1,0,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0,45,22,4,1,0,1,2,4742,1
1973,Basic,With_Partner,35688.0,2,1,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0,53,211,16,3,0,0,2,5113,0
1966,Master,With_Partner,49605.0,0,0,2014-06-21,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,0,60,127,8,0,0,2,2,4445,0
1953,Master,With_Partner,59354.0,0,2,2014-04-24,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0,73,459,16,2,0,2,2,4503,0
